SampleID,g__Actinomyces;,g__Acinetobacter;,g__Lactobacillus;,g__Bacteroides;,g__Simplicispira;,g__Rothia;,g__Anaerococcus;,g__Staphylococcus;,g__Burkholderia;,g__Neisseria;,g__Corynebacterium;,g__Porphyromonas;,g__Aeromonas;,g__Streptococcus;,Unclassified,g__Stenotrophomonas;,g__Haemophilus;,g__Veillonella;,g__Macrococcus;,g__Leptotrichia;,g__Propionibacterium;,g__Prevotella;,g__Granulicatella;,g__Lautropia;,g__Chryseobacterium;,g__Peptoniphilus;,g__Pseudomonas;,g__Streptophyta_Group;,g__Gemella;,g__TM7;,g__Rhodococcus;,g__Bifidobacterium;,g__Enhydrobacter;,g__Massilia;,g__Brevundimonas;,g__Ralstonia;,g__Paracoccus;,g__Sphingomonas;,g__Amaricoccus;,g__Neisseriaceae_Group;
S_15277507,0.00038435,0.000306279,0,0,0.00264241,0.000336306,9.61E-05,0.122963,0.00169755,0,0.00157744,0,0.000240219,0.00137005,0,0.00413176,0.000336306,0.000288263,0,0,0.861521,0.000120109,0.000336306,0,0,0,0.000192175,0,0,0,0,0,0,0.000403568,0,9.61E-05,9.61E-05,0,0,0
S_15277508,0.00043757,0.0519753,0.0156067,0,0.0182613,0,0.0014294,0.326597,0.00259625,0.000495913,0.054881,0,0.00870765,0.00221119,0.00299006,0.00384089,0.00110851,0,0,0,0.139643,0.000729284,0,0.00110851,0.0264876,0.000408399,0.00505248,5.83E-05,0,0.00064177,0.00288796,0.000505637,0.124474,0.00287046,0.100408,0.00224619,0.0151691,0.00705947,0.000845969,0
S_15277509,0,0.00490666,0.00147956,0.00190402,0.00128541,0,0,0.0123239,0.000482029,0,0.00371564,0,0,0.00376518,0,5.36E-05,0,0.00128541,0,0.000321353,0.666405,0.00372769,0.00136575,0,0,0,0.00027315,0.000241015,0,0,0.000562367,0.00246371,0.000321353,0.000401691,0.00417759,0.000160676,0.000401691,0.000160676,0,0.278191
S_15277510,0,3.23E-05,0,0.000248129,0.000286855,0,0,0.219633,5.74E-05,0,0.0974159,0,9.32E-05,5.74E-05,0.000215141,0,0,0,0,0,0.679272,3.44E-05,0,0,0,0,2.87E-05,0,0,0,0,0.000745822,0,5.16E-05,0,8.61E-05,0,0,0,0
S_15277511,0,0.000550377,0.00038364,0,0.000236086,0.000177065,0.00457417,0.0336482,5.90E-05,0.000118043,0.0149423,0,0,0.000221331,0.000295108,6.89E-05,0.000147554,5.90E-05,0,0,0.932335,0.00116863,0,0,0,0.00168212,0.00030101,0,0,0,0.000870569,0.000118043,0,6.49E-05,0.000206576,0.00466271,5.90E-05,8.85E-05,0.000118043,0.000177065
S_15277512,0.000346799,0.000651853,0.000218355,0,0.000102755,0.00064222,0.000308266,0.0756792,0.000179822,0.000744975,0.00855437,0,0.000366065,0.00222379,0.000102755,0,0.00173827,0.000411021,0.000102755,0.000333954,0.894664,0.000518914,0.000256888,5.14E-05,0.00084773,0.000436709,8.88E-05,5.14E-05,0.00029114,0,7.71E-05,5.14E-05,0.000744975,4.62E-05,0.00084773,0.00125875,0.00174684,7.71E-05,7.71E-05,0
S_15277513,0,0.00021815,0,3.39E-05,0.000310634,0,0,0.00303292,0.000112958,0,0.000785999,0,5.65E-05,9.88E-05,0,0,3.29E-05,8.47E-05,0,0,0.993323,3.39E-05,8.47E-05,0,0,0,3.55E-05,0,0,0,0,8.47E-05,0.000367113,3.95E-05,0,0,0.000197676,0.000183557,0,0
S_15277514,0.00112425,0.00824146,0.0132791,0.0320168,0.00926935,0.000321215,0,0.0574791,0.00169785,0.00064243,0.015533,0,0.00475857,0.00453984,0.0190435,0.00273798,0.00183551,0.0030286,0.000963645,0.00128486,0.2176,0.00155101,0.000137664,0,0.00100953,0.000550654,0.002429,0.000825982,0.000428287,0,0.00387752,0.187635,0.00234028,0.0014317,0.00844337,0.000229439,0.00142252,0.000229439,0.00160608,0.000149136
S_15277515,0.00315965,0.00472873,0.000210643,0,0.0157477,0.00299114,0.000581376,0.0459438,0.002553,0.00285632,0.0116528,0.00045499,0.00549653,0.0107963,0.00080887,0.000160089,0.0212834,0.00174413,0,0.000429712,0.817414,0.00267938,0.00240133,0.002553,0.000151663,0.00197162,0.00191601,0,0.00129756,0,0.00404435,0.000151663,0.00154191,0.00200195,0.00133969,0.000606653,0.00371575,0.000492905,0.000328604,0.000309646
S_15277516,0.00317479,0.00309141,0.00147515,0.000166756,0.0239873,0.00044896,0.00044896,0.164839,0.00423305,0.00808128,0.00331375,0.00121861,0.00293427,0.0135575,0.000769645,0.000384823,0.00352754,0.000833782,0.000192411,0.000192411,0.683702,0.00574989,0.00493856,0.00044896,0.000256548,0.000256548,0.00191129,0,0.00198825,0.00109033,0.00618923,0.00207377,0.00352754,0.00330947,0.00455373,0.000833782,0.000641371,0.00147515,0.000256548,0.0181187
S_15277517,0,0.00426921,0.00234359,0.000635222,0.00112995,0,0.000397574,0.0534074,0.000857923,0,0.0258911,0.000418499,0.00627225,0.0022306,0.00219712,0.0013392,0.00106717,0,0,0.000711448,0.729862,0.000209249,0.000418499,0.000418499,0.037351,0,0.00169213,6.28E-05,0,0,0.00232267,0.00149962,0.0390041,0.000347354,0.00366187,0.0237707,0.0200461,0.000439424,0.00012555,0.00012555
S_15277518,0.00276058,0.00584858,0.00129469,0.00216138,0.111386,0.00205439,0.00134819,0.0462365,0.0594488,0.000577796,0.00927683,0.000962993,0.00386802,0.0143914,0.00179759,0.158209,0.00295318,0.00256798,0,0.000449397,0.386417,0.00282478,0,0.000962993,0.000128399,0.000385197,0.0497981,0.000577796,0.000256798,0.000513596,0.00102719,6.42E-05,0.00147659,0.0158316,0.00102719,0.000641995,0.000641995,0.00147659,0.00134819,0.000128399
S_15277519,0.000673036,0.00369933,0.00205702,2.28E-05,0.00214234,0.00100481,0.0192811,0.0941293,0.00091002,0.00235089,0.0344259,0,0.000856936,0.0051928,0.0015167,0.00127024,0.000132711,0.000777309,0,0,0.715219,0.00680619,0,0.000549804,0.000360216,0.00277746,0.00260764,9.48E-05,0.000379175,0.000284381,0.000985855,0,0.0027111,0.000413301,0.00320403,0.018845,0.00453114,0.000398134,0.000322299,0.00176316
S_15277520,0.000491965,0.000368974,0,0,0,0.000491965,0,0.00380921,0,0.000140561,0.00210842,7.03E-05,0.000193272,0.00142084,0.000105421,0.000245982,0.000386544,0.000456824,0,0.000105421,0.982313,0.000421684,0.000527105,0,0.000105421,0.000386544,2.11E-05,0,0,0.000140561,0.000105421,0,0.000667667,2.81E-05,0.000351403,0.00242468,0.000281123,5.27E-05,0,1.76E-05
S_15277521,4.72E-05,0.0009796,0.000467599,0.000113953,0.000212188,0.000377222,0.000235764,0.00911818,7.07E-05,0.000754445,0.0120515,9.43E-05,0.000548151,0.00121615,0.000943056,0.000106094,0.00167392,0.000447952,0,0,0.933343,0.000938341,0.000141458,9.43E-05,0.000165035,9.43E-05,0.000561118,0.000353646,0,0,0.000318281,0.000275058,0.000188611,8.02E-05,0.000943056,0.0075916,0.00155604,0.000282917,0.000471528,0.0120534
S_15277522,0,9.65E-05,0,5.14E-05,7.02E-05,4.68E-05,4.68E-05,0.00154332,4.68E-05,4.68E-05,0.000132507,0,0,0.000270471,4.68E-05,0,7.02E-05,4.68E-05,0,0,0.992717,7.48E-05,7.02E-05,0,0,0,8.63E-05,0,0,0,8.18E-05,0,0.0022916,1.40E-05,0.000140302,0.0010055,0.000327371,5.85E-05,0,2.34E-05
S_15277523,4.91E-05,0.000447061,2.86E-05,4.91E-05,0.000196241,7.36E-05,7.36E-05,0.119138,9.81E-05,0,0.0170402,0,0.000190108,0.000233853,0.000294361,8.59E-05,0.000175799,0,0,4.91E-05,0.856075,0.00012265,0,4.91E-05,0,0,0.00024203,9.81E-05,4.91E-05,0,7.36E-05,4.91E-05,0.000490602,9.81E-06,0.000196241,0.00264925,9.81E-05,3.68E-05,0,0
S_15277524,5.54E-05,6.58E-05,0,0,8.31E-05,5.54E-05,5.54E-05,0.00687607,0,0,0.00165761,0,0.000200852,0.000171763,0.000110815,0,0,0,0,0,0.986115,0,0,0,0,0,0.0001496,0,1.85E-05,0,0,0,0.00044326,1.66E-05,0.000249334,0.00121897,0.000470964,6.93E-05,0,0.000311667
S_15277525,0.00221921,0.000916001,0,0.0037644,0.000184934,0.000184934,0.000115584,0.00746517,0.000277401,0.00115584,0.00522053,0,0.000849541,0.00191368,0.000416102,0,0.000901553,0.00175687,0,0,0.903865,0.00625539,0,0.00099402,0.000231168,0.000115584,0.00252897,6.94E-05,0.000346751,0,0.00204583,0.0123655,0.0011096,0.000639564,0.000254284,0.0106337,0.00078597,0.000184934,9.25E-05,0.000381426
